pickup_datetime,lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp,gearTime,HeartTime,GyroTime,RateTime,PressureTime,TempTime
2021-3-20 14:7:20,23.561,120.4756,-0.81,1,13.346666666666668,10.34,128.0,29.53,50840,50840,50840,50839,50840,50840
2021-3-20 14:7:26,23.5611,120.4756,-0.14200000000000002,1,17.098,5.794,129.0,29.34,50848,50848,50845,50845,50845,50848
2021-3-20 14:7:30,23.561175,120.4756,-2.31,1,20.02,5.12,128.0,29.53,50853,50853,50850,50850,50850,50853
2021-3-20 14:7:34,23.5612,120.4756,-2.5,1,20.615000000000002,5.035,127.0,29.25,50855,50855,50853,50853,50853,50855
2021-3-20 14:7:37,23.5612,120.4756,-7.0166666666666675,1,21.05,4.236666666666666,76.0,29.25,50859,50859,50857,50857,50857,50859
2021-3-20 14:7:41,23.56122,120.4756,-5.4559999999999995,1,19.21,4.732,114.0,29.34,50862,50862,50860,50860,50860,50862
2021-3-20 14:7:46,23.5613,120.47555,-2.9825,1,16.997500000000002,7.465,78.0,29.8,50868,50868,50865,50865,50865,50868
2021-3-20 14:7:50,23.5613,120.4755,-2.54,1,17.465,7.3100000000000005,127.0,29.99,50871,50871,50869,50869,50869,50871
2021-3-20 14:7:54,23.561475,120.4754,1.165,1,16.384999999999998,7.655,66.0,30.27,50875,50875,50873,50873,50873,50875
2021-3-20 14:7:58,23.562033333333336,120.4751,-2.776666666666667,2,14.306666666666667,9.12,129.0,30.45,50879,50879,50877,50877,50877,50879
2021-3-20 14:8:1,23.5621,120.4751,-5.86,2,13.97,9.36,129.0,30.64,50880,50880,50880,50880,50880,50880
2021-3-20 14:8:6,23.5621,120.4751,-0.5900000000000001,2,13.21,8.61,128.0,30.45,50887,50887,50886,50885,50886,50887
2021-3-20 14:8:12,23.5622,120.4751,-2.34,3,13.35,8.25,128.0,30.64,50891,50891,50891,50891,50891,50891
2021-3-20 14:8:17,23.562266666666666,120.4751,1.7374999999999998,3,13.84,8.735,128.0,30.64,50899,50899,50896,50896,50896,50899
2021-3-20 14:8:20,23.5623,120.4751,2.13,3,13.77,8.74,128.0,30.64,50900,50900,50900,50899,50900,50900
2021-3-20 14:8:25,23.56214,120.47534,-5.305000000000001,3,12.908,9.79,128.0,30.73,50907,50907,50905,50904,50905,50907
2021-3-20 14:8:30,23.5619,120.47572000000001,-0.5700000000000003,3,13.36,10.548,128.0,30.73,50911,50911,50909,50909,50909,50911
2021-3-20 14:8:35,23.5619,120.4758,1.465,6,12.34,10.469999999999999,128.0,30.83,50917,50917,50914,50914,50914,50917
2021-3-20 14:8:40,23.5619,120.4758,0.89,6,10.06,10.77,128.0,31.2,50920,50920,50920,50920,50920,50920
2021-3-20 14:8:46,23.5618,120.47585000000001,-0.36499999999999977,6,9.95,9.36,128.0,31.48,50928,50928,50925,50925,50925,50928
2021-3-20 14:8:50,23.5618,120.4759,-0.6914285714285714,5,10.02,9.255714285714285,127.0,31.48,50931,50931,50929,50929,50929,50931
2021-3-20 14:8:56,23.5618,120.4759,0.8200000000000001,3,10.836666666666666,7.772,129.0,31.2,50937,50937,50936,50935,50936,50937
2021-3-20 14:9:4,23.5616,120.4759,-7.76,3,13.44,5.93,129.0,31.01,50943,50943,50943,50943,50943,50943
2021-3-20 14:9:9,23.5622,120.47653333333334,-3.405,3,13.58,6.865,128.0,31.01,50950,50950,50948,50948,50948,50950
2021-3-20 14:9:12,23.562225,120.4766,-4.5875,3,14.245000000000001,13.145,98.0,30.45,50954,50954,50952,50952,50952,50954
2021-3-20 14:9:20,23.5623,120.4766,-1.1099999999999999,3,11.240000000000002,-15.21,128.0,30.27,50966,50966,50960,50960,50960,50966
2021-3-20 14:9:24,23.5623,120.4766,-1.4328571428571428,3,14.247142857142858,7.507142857142857,128.0,30.17,50965,50965,50963,50963,50963,50965
2021-3-20 14:9:34,23.5624,120.4767,0.84,3,14.61,5.9,130.0,29.9,50974,50974,50974,50973,50974,50974
2021-3-20 14:9:38,23.5624,120.4767,0.09000000000000002,3,14.265,7.336666666666667,127.0,30.08,50979,50979,50978,50977,50978,50979
2021-3-20 14:9:41,23.5626,120.47687142857143,-0.998,3,14.13,6.354,52.0,29.99,50983,50983,50981,50981,50981,50983
2021-3-20 14:9:49,23.5631,120.4774,-0.33,3,14.83,7.31,128.0,29.99,50989,50989,50989,50989,50989,50989
2021-3-20 14:9:53,23.5632,120.4774,-1.35,3,15.175,8.33,78.0,29.71,50994,50994,50992,50992,50992,50994
2021-3-20 14:9:57,23.5632,120.4774,-0.6699999999999999,3,15.59,7.6,131.0,29.9,50998,50998,50996,50996,50996,50998
2021-3-20 14:10:1,23.563233333333333,120.47743333333334,-1.7466666666666666,3,16.03666666666667,5.593333333333333,50.0,29.9,51002,51002,51000,51000,51000,51002
2021-3-20 14:10:4,23.5633,120.4775,-2.0,3,15.97,5.13,130.0,29.8,51003,51003,51003,51003,51003,51003
2021-3-20 14:10:6,23.563266666666667,120.4775,-0.81,3,15.16,4.88,130.0,29.8,51005,51005,51005,51005,51005,51005
2021-3-20 14:10:9,23.5634,120.4775,-1.66,3,14.5425,5.82,130.0,29.8,51009,51009,51009,51008,51009,51009
2021-3-20 14:10:13,23.5634,120.4776,-0.815,1,15.065000000000001,6.1899999999999995,127.0,29.9,51014,51014,51012,51012,51012,51014
2021-3-20 14:10:16,23.5634,120.4776,0.35,1,16.0,5.86,127.0,30.17,51016,51016,51016,51016,51016,51016
2021-3-20 14:10:22,23.564,120.478,-3.2775000000000003,1,21.0525,4.845,127.0,30.17,51024,51024,51021,51021,51021,51024
2021-3-20 14:10:25,23.564,120.478,-1.7966666666666669,1,23.33,4.733333333333333,127.0,29.9,51027,51027,51025,51025,51025,51027
2021-3-20 14:10:29,23.564033333333334,120.478,-4.18,1,23.665,4.800000000000001,128.0,29.9,51030,51030,51028,51028,51028,51030
2021-3-20 14:10:32,23.5641,120.478,-6.733333333333333,1,21.75,5.003333333333334,128.0,29.71,51034,51034,51032,51032,51032,51034
