lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp,Time
2.356269770000000108e+01,1.204787000000000035e+02,5.013249211356466395e-01,1.000000000000000000e+00,1.329900000000000249e-01,6.750126182965300536e+00,5.462145110410094162e+01,2.976952531645569522e+01,6.481677000000000000e+07
2.356271999999999878e+01,1.204786903499999937e+02,9.115923566878980644e-01,1.000000000000000000e+00,5.574999999999999400e-02,4.014339622641509564e+00,6.300000000000000000e+01,2.974485714285714266e+01,6.481707000000000000e+07
2.356271999999999878e+01,1.204786918500000041e+02,1.230031746031746032e+00,1.000000000000000000e+00,6.325000000000000067e-02,5.186410256410256103e+00,6.300000000000000000e+01,2.971000000000000085e+01,6.481737000000000000e+07
2.356271999999999878e+01,1.204786933500000004e+02,1.661365079365079378e+00,1.000000000000000000e+00,7.074999999999999345e-02,1.174626198083067052e+01,6.300000000000000000e+01,2.971000000000000085e+01,6.481767000000000000e+07
2.356271999999999878e+01,1.204786948499999966e+02,2.048031746031745648e+00,1.000000000000000000e+00,7.825000000000000011e-02,9.360315457413250328e+00,4.542539682539682389e+01,2.971000000000000085e+01,6.481797000000000000e+07
2.356271999999999878e+01,1.204786963500000070e+02,2.071803797468354524e+00,1.000000000000000000e+00,8.574999999999999289e-02,4.590599369085173187e+00,4.400000000000000000e+01,2.971000000000000085e+01,6.481827000000000000e+07
2.356271999999999878e+01,1.204786978500000032e+02,3.314044585987260927e+00,1.000000000000000000e+00,9.324999999999999956e-02,3.277142857142857135e+00,6.287898089171974902e+01,2.971000000000000085e+01,6.481857000000000000e+07
2.356271999999999878e+01,1.204786993499999994e+02,2.777547770700636853e+00,1.000000000000000000e+00,1.007499999999999923e-01,8.662364217252395804e+00,6.714649681528662484e+01,2.968047770700637145e+01,6.481887000000000000e+07
2.356271999999999878e+01,1.204786917000000273e+02,-3.049683544303797289e-01,1.000000000000000000e+00,7.713999999999998636e-02,7.928359621451104289e+00,6.300000000000000000e+01,2.962000000000000099e+01,6.481917000000000000e+07
2.356271999999999878e+01,1.204786947000000197e+02,-2.340459330143540573e+00,2.000000000000000000e+00,8.973999999999997257e-02,6.234698412698413073e+00,5.304444444444444429e+01,2.962000000000000099e+01,6.481947000000000000e+07
2.356271999999999878e+01,1.204786977000000263e+02,-2.047636363636363477e+00,2.000000000000000000e+00,1.023399999999999865e-01,7.118671268334771263e+00,3.068229665071770285e+01,2.962000000000000099e+01,6.481977000000000000e+07
2.356272964999999786e+01,1.204787103499999859e+02,-1.754813397129186603e+00,2.000000000000000000e+00,1.072200000000000375e-01,7.688127696289905444e+00,2.953397129186602754e+01,2.962000000000000099e+01,6.482007000000000000e+07
2.356272814999999810e+01,1.204787118499999963e+02,-1.461990430622009507e+00,2.000000000000000000e+00,1.210200000000000303e-01,8.257584124245038737e+00,2.838564593301435224e+01,2.962000000000000099e+01,6.482037000000000000e+07
2.356272664999999833e+01,1.204787133499999925e+02,-3.402857142857143025e+00,2.000000000000000000e+00,1.348200000000000232e-01,6.553980891719745294e+00,2.723732057416268049e+01,2.962000000000000099e+01,6.482067000000000000e+07
2.356272514999999856e+01,1.204787148499999887e+02,-3.382611464968153125e+00,2.000000000000000000e+00,1.486200000000000299e-01,4.292070063694267468e+00,2.927388535031847283e+01,2.955885714285714272e+01,6.482097000000000000e+07
2.356272364999999880e+01,1.204787163499999991e+02,-3.022707006369426797e+00,2.000000000000000000e+00,1.624200000000000088e-01,6.319240506329113494e+00,5.710828025477707115e+01,2.958703821656051147e+01,6.482127000000000000e+07
2.356272214999999903e+01,1.204787178499999953e+02,-3.831999999999999851e+00,2.000000000000000000e+00,1.762200000000000155e-01,8.849056603773584939e+00,6.467721518987342222e+01,2.956796875000000213e+01,6.482157000000000000e+07
2.356272064999999927e+01,1.204787193499999916e+02,-4.586198083067092313e+00,2.000000000000000000e+00,1.900200000000000222e-01,8.275159235668789748e+00,5.443217665615141954e+01,2.953000000000000114e+01,6.482187000000000000e+07
2.356270999999999916e+01,1.204787116999999910e+02,-3.727721518987341831e+00,2.000000000000000000e+00,1.690499999999999781e-01,5.992857142857142883e+00,5.684177215189873777e+01,2.953000000000000114e+01,6.482217000000000000e+07
2.356270999999999916e+01,1.204787146999999976e+02,-2.501082802547770711e+00,2.000000000000000000e+00,1.885499999999999954e-01,6.526867088607595235e+00,7.633121019108280336e+01,2.953000000000000114e+01,6.482247000000000000e+07
2.356270999999999916e+01,1.204787176999999900e+02,-2.854444444444444340e+00,2.000000000000000000e+00,2.080499999999999572e-01,1.353374603174603230e+01,8.900000000000000000e+01,2.953000000000000114e+01,6.482277000000000000e+07
2.356270999999999916e+01,1.204787303499999922e+02,-2.777879746835443253e+00,2.000000000000000000e+00,3.163299999999999446e-01,7.301619047619047009e+00,6.477215189873417955e+01,2.953000000000000114e+01,6.482307000000000000e+07
2.356270999999999916e+01,1.204787318500000026e+02,-1.662113564668769694e+00,2.000000000000000000e+00,3.220299999999999274e-01,2.672358490566038469e+00,4.282165605095541139e+01,2.953000000000000114e+01,6.482337000000000000e+07
2.356270999999999916e+01,1.204787333499999988e+02,-1.975772594752186473e+00,2.000000000000000000e+00,3.277299999999999658e-01,1.482114035087719195e+01,6.300000000000000000e+01,2.953000000000000114e+01,6.482367000000000000e+07
2.356270999999999916e+01,1.204787348499999950e+02,-1.749860627177700412e+00,2.000000000000000000e+00,3.334299999999999486e-01,6.366503496503495896e+00,5.374840764331210607e+01,2.953000000000000114e+01,6.482397000000000000e+07
2.356270999999999916e+01,1.204787363500000055e+02,-1.889363057324840556e+00,2.000000000000000000e+00,3.391299999999999870e-01,3.291401273885350420e+00,4.052547770700637386e+01,2.951598726114649907e+01,6.482427000000000000e+07
2.356270999999999916e+01,1.204787378500000017e+02,-6.670886075949367111e-01,2.000000000000000000e+00,3.448299999999999699e-01,9.322666666666666657e+00,7.890822784810126223e+01,2.943952380952380921e+01,6.482457000000000000e+07
2.356270999999999916e+01,1.204787393499999979e+02,-9.277707006369426690e-01,2.000000000000000000e+00,3.505299999999999527e-01,6.589333333333334153e+00,5.434713375796178525e+01,2.952523809523809462e+01,6.482487000000000000e+07
2.356270999999999916e+01,1.204787317000000257e+02,2.406624203821656316e+00,2.000000000000000000e+00,3.306100000000000705e-01,4.067770700636942571e+00,8.325949367088607289e+01,2.942999999999999972e+01,6.482517000000000000e+07
2.356270999999999916e+01,1.204787347000000182e+02,3.979999999999999538e+00,2.000000000000000000e+00,3.405100000000000349e-01,6.775000000000000355e+00,6.265605095541400971e+01,2.952404388714733585e+01,6.482547000000000000e+07
2.356270999999999916e+01,1.204787377000000248e+02,2.385032258064516242e+00,2.000000000000000000e+00,3.504100000000000548e-01,7.594813559322033392e+00,5.119108280254776844e+01,2.943964630225080370e+01,6.482577000000000000e+07
2.356271964999999824e+01,1.204787503499999843e+02,2.202764044943820387e+00,4.000000000000000000e+00,3.805749999999999966e-01,5.108372881355932371e+00,5.232882882882882569e+01,2.942999999999999972e+01,6.482607000000000000e+07
2.356271814999999847e+01,1.204787518499999948e+02,2.099726027397260442e+00,4.000000000000000000e+00,3.873249999999999749e-01,6.168379970544918933e+00,5.300000000000000000e+01,2.945446183953033170e+01,6.482637000000000000e+07
2.356271664999999871e+01,1.204787533499999910e+02,1.647671232876712466e+00,4.000000000000000000e+00,3.940750000000000086e-01,6.633154121863799269e+00,5.300000000000000000e+01,2.951317025440313202e+01,6.482667000000000000e+07
2.356271514999999894e+01,1.204787548499999872e+02,-7.756962025316456177e-01,4.000000000000000000e+00,4.008249999999999869e-01,4.311142857142857387e+00,3.031012658227847822e+01,2.946206349206349273e+01,6.482697000000000000e+07
2.356271364999999918e+01,1.204787563499999976e+02,-2.966305732484076252e+00,4.000000000000000000e+00,4.075750000000000206e-01,4.418603174603174644e+00,5.495859872611464425e+01,2.942999999999999972e+01,6.482727000000000000e+07
2.356271214999999941e+01,1.204787578499999938e+02,-5.700159744408946239e+00,4.000000000000000000e+00,4.143249999999999988e-01,7.511250000000000426e+00,5.675632911392405333e+01,2.948878594249201157e+01,6.482757000000000000e+07
2.356271064999999965e+01,1.204787593499999900e+02,-6.755759493670885796e+00,4.000000000000000000e+00,4.210749999999999771e-01,6.962383900928792002e+00,6.826517571884983226e+01,2.953000000000000114e+01,6.482787000000000000e+07
2.356269999999999953e+01,1.204787516999999895e+02,-4.732866242038216598e+00,4.000000000000000000e+00,3.610299999999998510e-01,8.348169491525423425e+00,7.097452229299362614e+01,2.948047619047619250e+01,6.482817000000000000e+07
2.356269999999999953e+01,1.204787546999999961e+02,-2.843809523809523565e+00,4.000000000000000000e+00,3.787299999999999001e-01,8.542500000000000426e+00,6.500000000000000000e+01,2.947476190476190538e+01,6.482847000000000000e+07
2.356269999999999953e+01,1.204787576999999885e+02,-2.203047619047619143e+00,4.000000000000000000e+00,3.964299999999998936e-01,7.496082802547770818e+00,4.875796178343949094e+01,2.949000000000000199e+01,6.482877000000000000e+07
2.356270964999999862e+01,1.204787703499999907e+02,-1.658566878980891612e+00,4.000000000000000000e+00,4.922950000000000936e-01,1.091199999999999903e+01,3.100000000000000000e+01,2.946535031847133723e+01,6.482907000000000000e+07
2.356270814999999885e+01,1.204787718500000011e+02,-1.406708463949843280e+00,4.000000000000000000e+00,4.978450000000000930e-01,7.084733542319749056e+00,2.984177215189873422e+01,2.949949685534591381e+01,6.482937000000000000e+07
2.356270664999999909e+01,1.204787733499999973e+02,-1.297834394904458621e+00,4.000000000000000000e+00,5.033950000000000369e-01,4.564267515923567053e+00,4.438485804416403369e+01,2.945507936507936364e+01,6.482967000000000000e+07
2.356270514999999932e+01,1.204787748499999935e+02,-1.380571428571428561e+00,4.000000000000000000e+00,5.089450000000000918e-01,9.270000000000001350e+00,6.939556962025316977e+01,2.950968253968254018e+01,6.482997000000000000e+07
2.356270364999999956e+01,1.204787763500000040e+02,-9.437460317460317771e-01,4.000000000000000000e+00,5.144950000000000356e-01,6.590191082802547839e+00,5.813694267515923286e+01,2.944555555555555415e+01,6.483027000000000000e+07
2.356270214999999979e+01,1.204787778500000002e+02,9.541401273885349865e-02,4.000000000000000000e+00,5.200450000000000905e-01,7.543333333333333002e+00,8.500000000000000000e+01,2.951917197452229402e+01,6.483057000000000000e+07
2.356270065000000002e+01,1.204787793499999964e+02,2.855696202531645689e-01,4.000000000000000000e+00,5.255950000000000344e-01,8.619523809523810698e+00,7.716772151898733512e+01,2.942999999999999972e+01,6.483087000000000000e+07
